Country,fleet,subfleet,species,N,mean.q,sd,se,upper,lower
non-UK,Otter,DEM_SEINE,HAD,11,NA,NA,NA,NA,NA
non-UK,Otter,DEM_SEINE,JAX,11,NA,NA,NA,NA,NA
non-UK,Otter,DEM_SEINE,MAC,11,NA,NA,NA,NA,NA
non-UK,Otter,DEM_SEINE,PLE,11,NA,NA,NA,NA,NA
non-UK,Otter,DEM_SEINE,SOL,11,NA,NA,NA,NA,NA
non-UK,Otter,DEM_SEINE,WHG,11,NA,NA,NA,NA,NA
non-UK,Otter,TR1,COD,11,1.03E-08,2.81E-09,8.46E-10,1.20E-08,8.68E-09
non-UK,Otter,TR1,HAD,11,1.24E-09,3.51E-10,1.06E-10,1.45E-09,1.04E-09
non-UK,Otter,TR1,HER,11,1.19E-13,1.58E-13,4.77E-14,2.13E-13,2.53E-14
non-UK,Otter,TR1,JAX,11,2.05E-10,5.87E-10,1.77E-10,5.52E-10,-1.42E-10
non-UK,Otter,TR1,MAC,11,1.12E-10,2.64E-10,7.96E-11,2.68E-10,-4.44E-11
non-UK,Otter,TR1,NOP,11,6.23E-11,1.98E-10,5.98E-11,1.80E-10,-5.48E-11
non-UK,Otter,TR1,PLE,11,2.32E-09,5.08E-10,1.53E-10,2.62E-09,2.02E-09
non-UK,Otter,TR1,POK,11,9.80E-09,2.49E-09,7.51E-10,1.13E-08,8.33E-09
non-UK,Otter,TR1,SAN,11,8.73E-11,2.40E-10,7.23E-11,2.29E-10,-5.44E-11
non-UK,Otter,TR1,SOL,11,2.86E-11,1.25E-11,3.77E-12,3.60E-11,2.12E-11
non-UK,Otter,TR1,SPR,11,5.41E-11,1.51E-10,4.55E-11,1.43E-10,-3.52E-11
non-UK,Otter,TR1,WHG,11,2.70E-10,9.84E-11,2.97E-11,3.28E-10,2.12E-10
non-UK,Otter,TR2,COD,11,4.04E-09,1.93E-09,5.82E-10,5.18E-09,2.90E-09
non-UK,Otter,TR2,HAD,11,6.31E-10,8.82E-10,2.66E-10,1.15E-09,1.10E-10
non-UK,Otter,TR2,HER,11,6.49E-11,5.31E-11,1.60E-11,9.63E-11,3.36E-11
non-UK,Otter,TR2,JAX,11,1.09E-10,1.84E-10,5.54E-11,2.17E-10,-6.19E-14
non-UK,Otter,TR2,MAC,11,9.47E-11,5.36E-11,1.61E-11,1.26E-10,6.30E-11
non-UK,Otter,TR2,NOP,11,0,0,0,0,0
non-UK,Otter,TR2,PLE,11,5.88E-09,6.68E-09,2.01E-09,9.83E-09,1.93E-09
