Year,SPR,NOP,SAN,POD,PLA,DAB,HER,HOM,LEM,SOL,MAC,WHG,WIT,GUG,PLE,RJR,HAD,RJN,MON,COD,POK
1905,1.352225395,0.662422174,0.491316942,0.253703097,0.307451726,0.315336533,0.153096848,0.024864017,0.25301574,0.518597848,0.122457237,0.378723733,0.311642678,0.253225632,0.494845806,0.31285514,0.748915641,0.30717511,0.256585487,0.225494962,0.423531709
1906,1.355560802,0.65936234,0.46364737,0.262428013,0.335511813,0.346273574,0.156523093,0.025145936,0.276110297,0.554264961,0.125112616,0.390334556,0.341532821,0.263466795,0.541701205,0.341926586,0.79770173,0.335165437,0.266897183,0.239132246,0.426156437
1907,1.353999165,0.650253208,0.455630619,0.271738791,0.344058511,0.356251661,0.165005451,0.02543978,0.284185731,0.534852057,0.127869581,0.392898672,0.351306378,0.27224041,0.588861323,0.352885985,0.860692765,0.341466816,0.276226576,0.24382971,0.401265584
1908,1.48687865,0.679407401,0.476527227,0.29601142,0.378895957,0.390643722,0.169817011,0.02667003,0.308503206,0.570100044,0.130727594,0.415445155,0.383947903,0.29645367,0.664927231,0.387187393,0.980380002,0.374229263,0.301423811,0.259096947,0.398070527
1909,1.533823074,0.703111529,0.501206896,0.314415132,0.413627255,0.426017959,0.17775646,0.027919853,0.334945392,0.614793227,0.135072925,0.441308265,0.421189671,0.312726749,0.731398633,0.422016438,1.031850708,0.412021998,0.31713881,0.269303616,0.407087401
1910,1.5556442,0.715605387,0.472416805,0.320697192,0.439248607,0.449802739,0.176566302,0.027946309,0.359100535,0.6563104,0.135244562,0.455676522,0.446469704,0.319619602,0.752783956,0.449626573,1.032117135,0.437656223,0.324403061,0.266518352,0.406454084
1911,1.268608423,0.604819677,0.399726808,0.274540941,0.396195557,0.402562593,0.150127765,0.024105026,0.323140445,0.600345954,0.116663057,0.41293,0.401229106,0.275478603,0.661260547,0.404915503,0.883811842,0.394527343,0.278524769,0.221507787,0.373664615
1912,1.154303594,0.562442015,0.368228481,0.248111826,0.375870769,0.382451205,0.14377051,0.022344003,0.310515562,0.568497252,0.106522383,0.397375313,0.379945092,0.247932137,0.636217025,0.383566341,0.772233341,0.374540833,0.251419747,0.208279236,0.376030748
1913,1.106941802,0.54113916,0.356594735,0.243181082,0.360303559,0.365795458,0.148123523,0.022452792,0.296646188,0.540732971,0.101467295,0.395336845,0.366097231,0.243407146,0.625259418,0.368140387,0.759271495,0.359922992,0.246290131,0.202441265,0.388322041
1914,0.957097915,0.477549731,0.3054842,0.198785515,0.294914186,0.300029384,0.139542229,0.019714802,0.249956116,0.455896626,0.088088929,0.349653068,0.298944871,0.198472025,0.498225611,0.299975236,0.611225132,0.293518882,0.20164449,0.173517202,0.335553166
1915,0.808077493,0.401577098,0.259171141,0.165824743,0.240227398,0.246756619,0.126128943,0.017611038,0.206601803,0.372369661,0.078808171,0.302598857,0.243776825,0.165883287,0.403047832,0.244060502,0.497696028,0.2383049,0.167167541,0.150971957,0.300267488
1916,0.675732199,0.343515585,0.214269151,0.13570876,0.190002151,0.195221923,0.103759435,0.015356909,0.164670618,0.300145846,0.066883811,0.252777486,0.193047465,0.135448608,0.31872692,0.193285123,0.403273026,0.189529618,0.13620851,0.129432151,0.262570542
1917,0.571809615,0.30863243,0.189957391,0.112501746,0.163721274,0.16726533,0.085609495,0.014310898,0.145373966,0.266646397,0.05908801,0.213547983,0.165991638,0.112050508,0.264538567,0.165678732,0.330246746,0.162904889,0.113220198,0.113397895,0.236578745
1918,0.767968985,0.420914085,0.259049416,0.157441875,0.223492349,0.229754464,0.105858023,0.019000925,0.196407968,0.368415407,0.077122207,0.283088031,0.228062421,0.15700512,0.370030961,0.227804705,0.478297601,0.223327278,0.158734057,0.14887771,0.320128812
